CustomerID;FirstName;LastName;Gender;Age;City;Region;SignupDate;Segment
200001;Γεωργία;Σταματίου;F;46;Τρίκαλα;Θεσσαλία;2024-06-30;Silver
200002;Μαρία;Πετρόπουλος;F;20;Χανιά;Κρήτη;2024-05-03;Gold
200003;Σοφία;Γεωργίου;F;40;Σέρρες;Κεντρική Μακεδονία;2024-07-03;Silver
200004;Νίκος;Καραγιάννης;M;30;Ρόδος;Νότιο Αιγαίο;2024-06-07;Platinum
200005;Ιωάννα;Λαμπρόπουλος;F;71;Ιωάννινα;Ήπειρος;2025-04-03;Platinum
200006;Ανδρέας;Βλάχος;M;41;Πάτρα;Δυτική Ελλάδα;2024-09-02;Platinum
200007;Άννα;Μιχαηλίδης;F;20;Βόλος;Θεσσαλία;2024-03-01;Gold
200008;Γεωργία;Γεωργίου;F;72;Χανιά;Κρήτη;2024-04-03;Silver
200009;Αγγελική;Χατζής;F;54;Τρίκαλα;Θεσσαλία;2025-06-28;Silver
200010;Παναγιώτης;Παπανικολάου;M;26;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-07-21;Bronze
200011;Χριστίνα;Καρράς;F;42;Θεσσαλονίκη;Κεντρική Μακεδονία;2025-05-17;Bronze
200012;Ανδρέας;Λαμπρόπουλος;M;48;Ρόδος;Νότιο Αιγαίο;2025-02-02;Bronze
200013;Μαρία;Ζαχαρίου;F;71;Αθήνα;Αττική;2024-07-11;Platinum
200014;Γεωργία;Χατζής;F;52;Πάτρα;Δυτική Ελλάδα;2025-10-18;Bronze
200015;Βασίλης;Παπαδόπουλος;M;21;Λάρισα;Θεσσαλία;2025-01-29;Bronze
200016;Χρήστος;Ζαχαρίου;M;51;Πάτρα;Δυτική Ελλάδα;2025-06-04;Bronze
200017;Δημήτρης;Γεωργίου;M;47;Πάτρα;Δυτική Ελλάδα;2024-08-14;Silver
200018;Δημήτρης;Καραγιάννης;M;31;Ρόδος;Νότιο Αιγαίο;2025-10-17;Silver
200019;Χρήστος;Αλεξίου;M;62;Θεσσαλονίκη;Κεντρική Μακεδονία;2024-10-24;Bronze
200020;Ανδρέας;Σταματίου;M;42;Ηράκλειο;Κρήτη;2025-01-15;Gold
200021;Μαρία;Νικολάου;F;27;Ρόδος;Νότιο Αιγαίο;2024-09-09;Silver
200022;Χριστίνα;Χατζής;F;63;Σέρρες;Κεντρική Μακεδονία;2024-11-13;Bronze
200023;Χριστίνα;Παπαδόπουλος;F;44;Ιωάννινα;Ήπειρος;2025-01-21;Bronze
200024;Μιχάλης;Κωνσταντίνου;M;56;Αθήνα;Αττική;2025-10-03;Silver
200025;Μιχάλης;Νικολάου;M;60;Τρίκαλα;Θεσσαλία;2024-08-16;Bronze
200026;Νίκος;Σταματίου;M;68;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-03-09;Bronze
200027;Κατερίνα;Κωνσταντίνου;F;61;Τρίκαλα;Θεσσαλία;2025-12-12;Bronze
200028;Σοφία;Χατζής;F;34;Θεσσαλονίκη;Κεντρική Μακεδονία;2024-05-02;Bronze
200029;Νίκος;Λαμπρόπουλος;M;72;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-07-24;Bronze
200030;Μιχάλης;Καραγιάννης;M;24;Θεσσαλονίκη;Κεντρική Μακεδονία;2024-08-22;Bronze
200031;Κατερίνα;Δημητρίου;F;66;Τρίκαλα;Θεσσαλία;2024-03-10;Bronze
200032;Ιωάννα;Νικολάου;F;46;Ρόδος;Νότιο Αιγαίο;2024-02-12;Silver
200033;Δημήτρης;Παπανικολάου;M;20;Ρόδος;Νότιο Αιγαίο;2024-01-15;Platinum
200034;Σοφία;Σταματίου;F;40;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-07-24;Gold
200035;Χρήστος;Μιχαηλίδης;M;27;Λάρισα;Θεσσαλία;2025-06-01;Bronze
200036;Δημήτρης;Παπανικολάου;M;60;Τρίκαλα;Θεσσαλία;2025-03-25;Bronze
200037;Ελένη;Βλάχος;F;56;Χανιά;Κρήτη;2024-10-21;Silver
200038;Βασίλης;Παπανικολάου;M;21;Θεσσαλονίκη;Κεντρική Μακεδονία;2025-12-02;Bronze
200039;Θανάσης;Σταματίου;M;64;Βόλος;Θεσσαλία;2025-01-14;Bronze
200040;Δημήτρης;Παπαδόπουλος;M;42;Αθήνα;Αττική;2025-07-30;Bronze
200041;Γεωργία;Γεωργίου;F;72;Ηράκλειο;Κρήτη;2025-10-05;Bronze
200042;Γιώργος;Καραγιάννης;M;54;Σέρρες;Κεντρική Μακεδονία;2025-01-30;Bronze
200043;Ιωάννα;Βλάχος;F;61;Καβάλα;Ανατολική Μακεδονία & Θράκη;2025-09-19;Bronze
200044;Ιωάννα;Νικολάου;F;47;Χανιά;Κρήτη;2025-01-03;Bronze
200045;Κατερίνα;Μιχαηλίδης;F;34;Πάτρα;Δυτική Ελλάδα;2025-01-11;Silver
200046;Σοφία;Νικολάου;F;20;Καβάλα;Ανατολική Μακεδονία & Θράκη;2025-02-24;Silver
200047;Χρήστος;Νικολάου;M;71;Σέρρες;Κεντρική Μακεδονία;2024-12-27;Bronze
200048;Χριστίνα;Καρράς;F;47;Τρίκαλα;Θεσσαλία;2025-04-08;Bronze
200049;Ιωάννα;Ιωαννίδης;F;39;Βόλος;Θεσσαλία;2025-11-12;Bronze
200050;Δημήτρης;Αλεξίου;M;63;Ηράκλειο;Κρήτη;2025-08-05;Bronze
200051;Ιωάννα;Λαμπρόπουλος;F;66;Ιωάννινα;Ήπειρος;2025-01-18;Silver
200052;Χρήστος;Νικολάου;M;48;Θεσσαλονίκη;Κεντρική Μακεδονία;2025-07-09;Silver
200053;Γεωργία;Καρράς;F;21;Ηράκλειο;Κρήτη;2024-08-10;Bronze
200054;Χρήστος;Ζαχαρίου;M;45;Πάτρα;Δυτική Ελλάδα;2025-03-29;Bronze
200055;Χρήστος;Χατζής;M;60;Πάτρα;Δυτική Ελλάδα;2024-10-06;Platinum
200056;Χρήστος;Χατζής;M;68;Ηράκλειο;Κρήτη;2024-06-03;Bronze
200057;Άννα;Νικολάου;F;66;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-11-19;Silver
200058;Νίκος;Δημητρίου;M;23;Αθήνα;Αττική;2024-01-09;Gold
200059;Ανδρέας;Δημητρίου;M;38;Βόλος;Θεσσαλία;2024-07-26;Silver
200060;Παναγιώτης;Δημητρίου;M;41;Ρόδος;Νότιο Αιγαίο;2024-11-19;Silver
200061;Ιωάννα;Παπανικολάου;F;63;Πάτρα;Δυτική Ελλάδα;2024-10-23;Bronze
200062;Κώστας;Σταματίου;M;44;Θεσσαλονίκη;Κεντρική Μακεδονία;2025-06-29;Gold
200063;Κατερίνα;Λαμπρόπουλος;F;53;Σέρρες;Κεντρική Μακεδονία;2025-04-25;Silver
200064;Άννα;Γεωργίου;F;60;Πάτρα;Δυτική Ελλάδα;2025-03-31;Bronze
200065;Κώστας;Μιχαηλίδης;M;48;Ιωάννινα;Ήπειρος;2025-05-03;Bronze
200066;Θανάσης;Ιωαννίδης;M;46;Ρόδος;Νότιο Αιγαίο;2025-08-08;Bronze
200067;Μιχάλης;Χατζής;M;40;Βόλος;Θεσσαλία;2024-03-28;Gold
200068;Κώστας;Νικολάου;M;57;Λάρισα;Θεσσαλία;2025-11-24;Bronze
200069;Νίκος;Αλεξίου;M;58;Βόλος;Θεσσαλία;2024-10-26;Silver
200070;Ανδρέας;Πετρόπουλος;M;69;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-01-17;Silver
200071;Κατερίνα;Ιωαννίδης;F;72;Λάρισα;Θεσσαλία;2024-07-15;Silver
200072;Μιχάλης;Παπανικολάου;M;28;Αθήνα;Αττική;2025-10-26;Bronze
200073;Σοφία;Σπυρόπουλος;F;45;Βόλος;Θεσσαλία;2024-02-11;Bronze
200074;Ελένη;Παπανικολάου;F;53;Αθήνα;Αττική;2024-05-13;Gold
200075;Θανάσης;Παπαδόπουλος;M;37;Ιωάννινα;Ήπειρος;2024-07-23;Gold
200076;Χριστίνα;Οικονόμου;F;62;Σέρρες;Κεντρική Μακεδονία;2024-10-03;Silver
200077;Δήμητρα;Ζαχαρίου;F;72;Ιωάννινα;Ήπειρος;2025-02-20;Silver
200078;Ανδρέας;Κωνσταντίνου;M;53;Ηράκλειο;Κρήτη;2025-05-15;Bronze
200079;Μιχάλης;Δημητρίου;M;69;Σέρρες;Κεντρική Μακεδονία;2024-11-22;Gold
200080;Γιώργος;Νικολάου;M;69;Θεσσαλονίκη;Κεντρική Μακεδονία;2024-09-05;Bronze
200081;Ελένη;Νικολάου;F;54;Ηράκλειο;Κρήτη;2024-03-30;Gold
200082;Γιώργος;Παπανικολάου;M;57;Θεσσαλονίκη;Κεντρική Μακεδονία;2024-06-08;Silver
200083;Δήμητρα;Γεωργίου;F;57;Θεσσαλονίκη;Κεντρική Μακεδονία;2024-02-27;Silver
200084;Νίκος;Σταματίου;M;23;Τρίκαλα;Θεσσαλία;2024-04-03;Bronze
200085;Δημήτρης;Οικονόμου;M;63;Θεσσαλονίκη;Κεντρική Μακεδονία;2025-01-31;Bronze
200086;Μιχάλης;Αλεξίου;M;63;Καβάλα;Ανατολική Μακεδονία & Θράκη;2025-09-11;Silver
200087;Σοφία;Χατζής;F;21;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-07-08;Silver
200088;Κώστας;Αλεξίου;M;34;Πάτρα;Δυτική Ελλάδα;2025-07-09;Silver
200089;Νίκος;Δημητρίου;M;30;Πάτρα;Δυτική Ελλάδα;2024-11-25;Gold
200090;Κώστας;Μιχαηλίδης;M;58;Ρόδος;Νότιο Αιγαίο;2024-10-30;Silver
200091;Άννα;Καρράς;F;34;Βόλος;Θεσσαλία;2024-09-03;Silver
200092;Σοφία;Σταματίου;F;22;Αθήνα;Αττική;2024-03-05;Silver
200093;Θανάσης;Καρράς;M;23;Σέρρες;Κεντρική Μακεδονία;2025-04-01;Bronze
200094;Ανδρέας;Χατζής;M;67;Βόλος;Θεσσαλία;2025-12-15;Silver
200095;Θανάσης;Κωνσταντίνου;M;64;Βόλος;Θεσσαλία;2025-04-06;Bronze
200096;Δήμητρα;Καραγιάννης;F;37;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-11-16;Silver
200097;Δημήτρης;Χατζής;M;28;Αθήνα;Αττική;2025-12-08;Bronze
200098;Ιωάννα;Παπανικολάου;F;68;Ιωάννινα;Ήπειρος;2025-04-19;Gold
200099;Ιωάννα;Νικολάου;F;27;Τρίκαλα;Θεσσαλία;2025-01-29;Bronze
200100;Κώστας;Παπανικολάου;M;42;Σέρρες;Κεντρική Μακεδονία;2024-06-01;Bronze
200101;Χρήστος;Σταματίου;M;27;Ρόδος;Νότιο Αιγαίο;2024-07-07;Bronze
200102;Χρήστος;Καραγιάννης;M;27;Λάρισα;Θεσσαλία;2024-12-11;Bronze
200103;Χριστίνα;Σταματίου;F;37;Χανιά;Κρήτη;2024-10-11;Bronze
200104;Γεωργία;Καραγιάννης;F;45;Ιωάννινα;Ήπειρος;2024-06-12;Silver
200105;Ανδρέας;Γεωργίου;M;22;Βόλος;Θεσσαλία;2025-12-23;Silver
200106;Κατερίνα;Βλάχος;F;51;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-08-09;Bronze
200107;Παναγιώτης;Σταματίου;M;39;Σέρρες;Κεντρική Μακεδονία;2024-11-14;Silver
200108;Γεωργία;Γεωργίου;F;56;Πάτρα;Δυτική Ελλάδα;2025-06-26;Bronze
200109;Κατερίνα;Ιωαννίδης;F;54;Καβάλα;Ανατολική Μακεδονία & Θράκη;2024-03-05;Bronze
200110;Χριστίνα;Βλάχος;F;31;Βόλος;Θεσσαλία;2025-12-05;Bronze
200111;Ιωάννα;Κωνσταντίνου;F;53;Βόλος;Θεσσαλία;2025-08-14;Gold
200112;Κώστας;Παπανικολάου;M;68;Σέρρες;Κεντρική Μακεδονία;2025-08-09;Platinum
200113;Θανάσης;Πετρόπουλος;M;33;Ηράκλειο;Κρήτη;2025-05-15;Silver
200114;Ανδρέας;Ζαχαρίου;M;24;Ιωάννινα;Ήπειρος;2024-05-31;Silver
200115;Βασίλης;Καραγιάννης;M;47;Ρόδος;Νότιο Αιγαίο;2024-09-29;Bronze
200116;Άννα;Κωνσταντίνου;F;63;Πάτρα;Δυτική Ελλάδα;2025-01-07;Gold
200117;Μιχάλης;Βλάχος;M;32;Σέρρες;Κεντρική Μακεδονία;2024-01-04;Bronze
200118;Αγγελική;Νικολάου;F;68;Λάρισα;Θεσσαλία;2024-11-23;Silver
200119;Γεωργία;Λαμπρόπουλος;F;30;Σέρρες;Κεντρική Μακεδονία;2024-07-11;Platinum
200120;Παναγιώτης;Οικονόμου;M;65;Ηράκλειο;Κρήτη;2025-06-20;Gold
200121;Άννα;Μιχαηλίδης;F;45;Τρίκαλα;Θεσσαλία;2024-01-12;Bronze
200122;Κώστας;Αναστασίου;M;19;Αθήνα;Αττική;2025-10-29;Silver
200123;Ελένη;Ιωαννίδης;F;47;Πάτρα;Δυτική Ελλάδα;2025-04-02;Silver
200124;Θανάσης;Σπυρόπουλος;M;66;Βόλος;Θεσσαλία;2024-04-20;Platinum
200125;Σοφία;Αλεξίου;F;63;Ρόδος;Νότιο Αιγαίο;2025-04-09;Bronze
200126;Ανδρέας;Παπαδόπουλος;M;25;Αθήνα;Αττική;2024-11-30;Silver
